,review,label
35,"not an excellent movie, but its perfect and it beats the first movie in just one shot.",1
38,"I have to say...way better than the first movie!  I was just obset when I found out that Bella was going to go save Edward after he hurt her like that. What the hell is wrong with her?   This movie had more action,the script was not as slow,and the actors were great! They really did improve from the last movie!  I was so excited when Jacob (Taylor Lautner) did not have his wig on anymore!!! He looks so much better without his wig!!! That Tattoo just makes him look so f***ing sexy and his abs...his abs are just wow!  I am the future Ms.Lautner!",1
39," What do you call a vampire movie with no action/horror and what do you call a romance with no chemistry/sex? Apparently you call it NEW MOON, but to anyone who actually can tell the difference between a good story from a bad one, you'll just call it BORING. The werewolves (if you can even call them that) have really bland FX, and they may look good compared to Twilight's FX, but that's because the FX found in Twilight were the quality of a Syfy Original. I won't get into the whole vampire glitter thing, either, nor will I bother trying to debate the logic of a 100 year old male going to high school over and over (I guess home schooling doesn't exist in Forks?) to score with 16 year old tail - in particular, the 16 year old tail of a brooding, angsty, emo girl who really needs to be put on medication. Wow, what a match made in Heaven. The 2 in my score is entirely for Taylor Lautner's abs. The dude hit the gym HARD for this movie, I respect that.",0
40, Indisputable proof that our culture is intellectually bankrupt!,0
41," Hated the first movie, but tried to go into this one with an open mind. Some parts were corny, and sappy, and made me want to vomit up my plastic special edition tub of twilight popcorn, but there were some scenes that were quite intense and very well done. It followed the book almost perfectly...except I thought the movie was better than the book... sorry Meyer.",1
42, I loved this movie. So not a disappointment!,1
43," Awful film. Bad books made into worse movies. Awful acting, god-awful script, hideous CGI. Jacob is the only character who actually has character but thats like saying he is as charming as a brick. The plot is freakin stupid. Edward leaves because Bella gets a papercut? It just proves he doesn't even care about her dispite the fact that this is a love movie. I can see why he doesn't care about her because Bella is one of the worse teenager in recent memory. ",0
44," This movie was much better than Twilight. I solid addition to the saga. Had some funny cheesy parts that could not be avoided. Be sure to read the book, some parts of the plot were overlooked due to the assumption that the audience knows how they got there. It isn't a masterpiece, but for what it is, they did a great job, however, I was excited to see it. I knew I would like it, but from as close to an objective standpoint as I can be, if you liked the books, go see the movie. If you didn't read/like the books, don't see it.",1
45, Maybe would have been better with different actors but with these emotionless stalefaces I just wanted to walk out.,0
46, New Moon handily wins WMOTY wost movie of the year!,0
49," Being a middle-aged man who writes screenplays i like to stay abreast of what is successful. I was pleasantly surprised by the first twilight movie. It had tension as Bella puzzled about Edward, then after realizing what he is, the tension became over the consummation question. Becoming a vampire is the metaphorical equivalent of sex and the tension and chemistry between the actors held my interest. Not the case with the new one. I found it interminably boring. I've seen Kristen Stewart in 4 films and the only one she has believable romantic chemistry is Twilight. Perhaps she has authentic off-screen feelings for Pattinson so she showed that in the first film. But there's no chemistry between her and Lautner, her and Eisenberg in Adventureland or her and Sanford in some crappy indie. She has much appeal in many ways and is not nearly as bad as Scarlett Johansen, but she has to grow. The film as a whole was overlong, boring and weak. It repeated the same plot devices as the first film, this time it's lautner with a secret. And how many solemn promises can these guys break? If you aren't a die-hard twilight fan - skip it.",0
50," I've would likely give this a 0, but the cinematography (which is grand) makes up for that. Also New Moon is a slow-moving movie unlike Twilight (which was straightforward and easy to understand). And I slightly think Robert Pattinson had bad acting throughout the Twilight Saga. Lastly, I highly recommend to read the book first, then see the movie.",0
51," The film was good, not extremely good. It pleased me. It was cool to see. I have fun.",1
52," The movie overall was very dull, the so called ""thrilling action"" parts put me to sleep. Plus for the most part you see Bella weeping and screaming for her Edward, give me a break and cry me a river. The story was good but the really bad acting by Stewart ruined the whole movie, her face looked a rock, pale and emotionless. Overall this movie was a complete waste of my time and my money,and doesn't even deserve to be called a movie anymore.",0
53," I did not see this movie for fear of adding to the already appalling figures it has managed to garner, but after seeing the original I can safely say that no film bearing the twilight name could possibly be meritorious of anything higher.",0
54, This movie was offensive to me as someone who likes good movies and literature.,0
55," A bunch of mopey teens standing around (literally, they DO just stand around for the entire film) as some soon-to-be-dated pop songs play in the background. People actually like this??",0
56, The first vampire film I've ever seen that is boring... maybe boring is too kind of a word.,0
57," Not worth the price of admission to me, but if your a teenage girl it presses all the right buttons. I liked it better than the first one, better special effects.",0
58," I thought nothing was worse than the original ""Twilight"" movie. I was wrong.",0
59, UGGHHH...they're not even real vampires! If you are love this movie and your not in high school you have issues.,0
60," If you're a fan of the Twilight books then you will more then likely enjoy New Moon. It follows the book VERY closely and it is definitely better then Twilight. Some scenes are corny, but it is a romance after all. My boyfriend, who is by no means a fan, enjoyed it as well. He was a fan of the wolves as compared to the vampires. New Moon the movie = Extreme fast forward of New Moon book.",1
62," Just another excuse for girls to keep making fun of anyone who they think is beneath their status (I'll include parents, because they have to put up with this 24/7), and prefer image over what's beneath. But in a vampire movie? Well, fear no more, vampire fans who are still out there. Daybreakers.",0
63, Bashing my head against a wall would be less painful then this.,0
64, A lot of style. No substance.,0
65," Poor acting and poor story. Absolute garbage! Yeah, a bunch of ugly guys with abs, TOP WRITING THERE! This is the dumbest series.",0
66, The love triangle is really compelling and this movie is much better than Twilight.,1
67,"An absolutely fantastic film, i enjoyed every second of it. it is an amazing novel to film adaptation and captured the feelings that bella felt for edward when he left and her new feelings for jacob. the depression was done well but the action scenes were top notch with an excellent cliff hanger that left people literally begging for the sequal",1
68," This movie is the worst movie i have ever watched, i can not believe i wasted my money on a movie that has horrible actors and a extremely bad story line. In my opinion the Twilight saga itself should not exist.",0
69," I'm a long time horror movie fan (I even know the people who did the FX for Sleep Away Camp & C.H.U.D.) so don't try to feed me crap about most positive reviewers being women. For me there can never be enough female nudity in ""men oriented"" movies, so if women want to see topless guys then more power to them. I expected to hate both of these movies when my wife forced me to see them and ended up thinking they were both ok for what they are. More along the lines of Lost Boys for this generation than a true vampire or werewolf movie.",1
70," If you liked Twilight, New Moon was even better! I highly recommend it!! The movie was over 2 hours but it seemed like 20 min. Loved it....",1
71, Another drone of a movie that is going to be wildly popular with the masses of sheep despite shoddy plot loaded with holes and weak acting. Not to mention further killing the traditional vampire in this mtv society.,0
72," Poorly acted, poorly written, dreadfully slow and horribly shot.",0
73," Please, stop that shit! We´re destroying our kids, our books, our movies, we are hitting culture in the fucking balls! New Moon sucks, like Twilight. It´a product, not a movie. The books are teen´s minds-controllers, not books. Please, see M-O-V-I-E-S (Agora, Diary of Noa) and read B-O-O-K-S (Harry Potter, Pilars of Earth, A World Without End, Fatima´s Hand) but not this, please. NOT THIS.",0
75," This was a movie made for the fans, not to please everybody else. The movie was extremely close to how the book played out and if you haven't read the books then honestly you will NOT get it.",1
76," Only those interested in the books and previous film will be happy with this. Everyone else will regard it as a junk film. The bad acting, overuse of male topless nudity and terrible lines are only just watchable if you turn your brain off, but anyone who has no interest in this will be unable to watch for more than a few seconds. I give it a 1, and that's being extremely generous.",0
77," Acting is terrible, dialog is straight from mtv. I dont get how people can enjoy this junk.",0
78," If only actors could be better than them. The worst of all is beautiful Kirsten Steward. I'm sad for her because the succes of Twilight movies will keep her far from learning acting skills, she will be like Jennifer Lopez. She don't even know how to speak to be listen. I had never read the books but I feel that New Moon is more in feelings than in images, and that's why the film is so boring. I don't think this film is better than the first, at least the other one was cheap and unpretencious, but I still remember the music and the baseball play. It was more rock and roll, which means more romantic. This one is a ""mexican telenovela"" with more investment in special effects but no invest in best make up. I really believe the film had to start with Bella's jumping the cliff and then explain whatever they want to explain about the risk of being a human sorrounded by vampires, and wolfs, which is not bad concept at all.",0
79," Bella, Edward a love story for the ages. Yeah, right. Teenage girls believe this sorry excuse of a movie which doesn",0
80," I'm not a fan of Twilight Saga, although I did enjoy the books. The movie, hoverer, is a disaster. The worst is of course Stewart. Her acting is horrible, she looks emotionless, is unable to potray any deeper emotions, has one facial expression during the whole movie (and open mouth, as a bonus). The crucial scene when Edward was leaving Bella in the forest was not only dull and boring but I would even say hiliarious in it's trying-so-hard-to-be-hearbreaking form that reminds us all of low quality romances and old cheap movies. The dialogues can be good for a trailer but while watching the whole movie they seem unfinished, what makes them sometimes hard to understand for people who hadn't read the book. The ending also is sort of confusing and I got the impression of missing scenes that should be there. I also don't appreciate the look of Edward who is supposed to be an 18 year old and still is dressed in suits, not casual clothes teenagers wear. Not loving the books, I still felt someting while reading them, the plot was gripping, I read them all in few days. The movie I found annoying and because I didn't want to wast the money for a ticked I forced myslelf to think it's funny.",0
81," utterly boring, soppy, drags like a cat with no back legs, just another flick for the ugly 14 year old goth girls out there that nothing ever goes right for. completely boring, it doesn't even make you think you just sit and wait for the next cheesy line to come along and believe me there are plenty, i wouldn't even call it a love story as they've gone past that, they've taken it to the extreme of a massively long soap opera x10! disgraceful.",0
83, It,0
84," The books were okay...I would give the BOOK at 5, but this movies just turned into a JOKE! Sorry Twilight fans out there.",0
85," Great sound track. Director is really good but its let down by crappy acting. Though I don't really have a problem with all these reviews, I think, if you're a teen or a pre-teen, don't take the words of the majority of these reviewers. It's not reviewed by you or for you, but rather for an adult audience. You'll probably love the movie if your in the 13-17 age range.",1
86," Soon to be one of the most overrated movies of the decade.The acting was less than average, the comedy was deadpan, and the dialogue, dear god, the dialogue was like some overlong text message. I went and saw this with a bunch of girls and they all loved it cause Taylor whatshisface takes off his shirt for no reason. Let me put it this way, This is a straight guy's worst nightmare!",0
87," I have never read any of the books, nor seen either movie. But just looking at the movie characters, then the fans makes me want to rip my eyes and ears completely off. Anyone who enjoys this crap needs to read...lets see...ANYTHING EVER WRITTEN to see how real people enjoy real literature and cinema And hes, ii am saying your not real people. LET THE CRYING BEGIN!!!",0
88," Yes, okay, it is a bit sloppy and very 'teen'...the plot isn't the one that critics most like but...people...the book was a HUGE best seller and trust me...this one does SOOO much justice to the book...in fact it's better. For the ones who missed edward in the book...well, you don't get to miss him...and, for the ones who go on team jacob...you defenately will be satisfied. It's NOT a bad movie, or a bad script...the thing is that critics are really critisising the book because, this movie is better than twilight and, man, is it good. I don't think that many people could really dislike it if they sat down and decided to have some fun for a while. Great soundtrack, btw.",1
89," I like Catherine Hardwicke better as a director, but there was still a lot that was good in New Moon. It's true that the two hours flew by like twenty minutes. I almost wish it were longer so that some of the emotion could have been built up more.",1
90," I didn't have the greatest expectations for this film but I was pleasantly surprised. It was a really beautifully crafted film and very true to the book. They captured the highs and lows of teenage love very accurately and it was great to see Jacob's character developed. I'm sorry to see all the very low scores by people, clearly a tepid attempt at lowering the over all user rating. I think most people who have read the book will be happy with the result.",1
91," Abysmal acting, writing, editing, screenplay. Just abysmal, this film hasn't a sliver of quality in it. And having to listen the fans going ""Oh my God I'm gonna cry!"" when the film begins is more than enough to make you leave the theater.",0
92," This could be the worst movie I've ever seen. Like an atmospheric episode of 90210 expanded to a mind-numbing 2+ hours. Mind you, this is a vampire movie with no blood. No fangs. No sex. No plot ... utter trash. The theater was packed. There were police outside. Giant lines around the block. The crowd was SO PUMPED they screamed at the opening titles in frenzied anticipation. I thought, ""This movie is going to be nuts with audience reaction/participation."" I've been to those action flix in downtown Bklyn where the crowd is SHOUTING at the actors (""DON'T GO IN THAT ROOM, MONTEL!!""). This was going to be a similar phenomenon. ... then for 2+ hours the audience sat there almost completely silent (stunned? stupefied? bored?), save for a few twitters and giggles when the male actors took their shirts off (?!) that joint should have been ROCKING!!",0
93," When you're trying to make a long movie, you need to keep the audience gripped. New Moon fails to even keep you gripped for the first 5 minutes. It also seems like anti feminist propaganda with girls effectively being told to be doting to your boyfriends, even if they are jerks.",0
94," Loved it, followed the book very well. Could not expect more from a ficton, fantasy aspect. To all the critis giving this movie a F, what were you thinking your were going to see in a film with a Vampire and a Warewolf as its' main leads? This could never be a Titanic or Apollo 13. I think we all could use two hours of enjoying a world of anything is possible. We just might smile more.",1
95, Only someone incapable of mature thought could enjoy this movie.,0
96," The worst vampire movie ever, totally boring. Fell asleep more than once.",0
97," It's OK, little boring but there are some scenes very spectacular. I love Jane, so evil.",1
98, A horrible movie the stars in it including that robert person and that one guy taylor should die.,0
99, A tedious movie that manages to wring the life out of every second of its 130 minute running time. ..130 minutes of life I'd like back.,0
