,review,label
17," This had the perfect mix of theme, feel, and dialogue of the oldschool show, and the action, pace, humor, and effects of todays big-budget movies. For me this movie was perfect in what it was; a movie about giant robots coming to earth and dealing with humans while searching for the key to possibly rebuilding their home. Oh, and blowing a whole lot of stuff up.",1
18, A truly epic movie to be seen! One of the best movies of the year alongside the 300!,1
19," A great flick for all, with good humor, a clear line between good guys and bad guys, awesome action sequences, and a feel good essence.",1
21," seriously - why do some of you rate this so low? 0, 3, 4? that's ridiculous. i wish i could meet some of you in the street so i could f***in bury you into the ground instead of you bad-mouthing this movie. maybe it's the little kid in me trying to defend what memories i cherish about this franchise, but for you people to say it's deserving of such a low score is stupid. some comments from users: ""Since when is Optimus a Peterbuilt?"" ""This film is an Incredibly juvenile piece of garbage."" ""..a very, very, very bad movie.""he ALWAYS has those stupid F**king 1 liners.. For example in this film ""You shoot, i'll drive""."" these are amongst a few. think about what you just wrote - one liners? well, let's see: you are a human trying to communicate with a robot from another world while in the middle of a gunfight. did you expect to hear a complete dissertation explaining what what the alien should do? or should she just drive and assume that the robot would know what she had in mind? i know it may have sounded kinda cheesy, but be a little more understanding to the situation. next - ""juvenile piece of garbage?"" whoever said this should be shot in the head. no SH*T. key word: juvenile. did you think the target demographic of this film would be the same as that of say The Godfather, Citizen Kane, Letter from Iwo Jima, Pretty Woman, or Eternal Sunshine? the point i'm trying to make is OBVIOUSLY Transformers was made with intent to draw in people who gave a damn about the series 20 years ago up until today, NOT for older people looking for real-life scenarios. take it as it is - a movie about robots in disguise. if your brain limits your acceptance of a creative idea such as robots changing into cars, then sorry - you're already off on the wrong foot. quote ""bad acting...no plot"" as i see so many people criticize Bay for his work, i wonder what kind of movie you people were expecting. no plot? good robots try to defend bad robots from taking over earth, and in doing so inadvertently involve a boy going through adolescent stages. COME ON WTF! you don't see the story? if you do a little bit of research, you'll also notice that Spike, in the original cartoon series, was also involved in a romantic affair so for you who disapprove of the love concept in the movie, this may have been a reason to include it. among other whines from users is product placement. seriously, if you were so busy looking for logos throughout the movie, you probably didn't want to see it to begin with and wanted to just pass time. do us all a favor and just shut your trap, keep your dumb comments to yourself, and just move along. so you saw ""GMC"" or ""Pontiac."" big deal, grow up. did it bother you that much that it ruined the movie? cry me a river. lastly for people complaining about what vehicles were used, i somewhat agree (ex. bumblebee not a bug), but you have to keep in mind that they were trying to blend in with times. honestly, i'm glad bumlebee wasn't a beetle because that whole car chase with him and barricade would have been weird (beetle vs mustang?). as for the others, optimus was a truck, jazz was a sportscar, (i guess, if you consider a solstice sporty?) and starscream was a plane. only possible gripe i can think of for this movie was megatron shouldn't be a plane and jazz should have been a better car. maybe my own comments on others may seem harsh, and for that i apologize, but i refuse to sit there and let a few bad user reports hinder other moviegoers from seeing this film, or let the rating drop considerably. everything about this flick deserves praise, regardless of your previous bias towards Bay. bottom line: no way should this movie be rated lower than a 7 (green = good on this site?). if you do, i'd like to know what kind of movies you DO approve of. constructive criticism should always be accepted, but saying a movie is completely worthless and not saying why doesn't do anything to help",1
22," If your hoping to see a thought provoking, soul stirring film...stay home. If you want to see a great summer blockbuster...then go see this movie. I am an old school transformer fan who was terrified of being let down. I was not.",1
23," It loses one point from me due to some of the lame humor (most notably the ""urination"" jokes). Regardless, this is the ultimate summer action flick, a slam-bang-crash parade of ""WOW"" moments that made me feel like a kid again. The CGI work is so convincing, I forgot it was CGI at all. It's the most fun I've had at the movies in a long, long time.",1
25," This movie was amazing. The intensity in which Bay approached this film came through on the big screen. I find some of the negative comments on the internet about this film hilarious. Many people came out of this film saying none of the characters had any progression and that it was a typical Michael Bay film. First of all, this is a movie about gigantic robots that turn into cars and smash/shoot/destroy everything around them -- where is the necessity for character progression? In addition, if this were anything less than a typical Bay film, I would've been disappointed. This movie was an action packed thrill ride that never disappointed. Shia and Megan's chemistry on set was amazing. Bay did a great job of addressing several different characters while managing to get across the storyline. Had this movie been any shorter, we would've been disappointed that he left things out. This movie lived up to every childhood expectation I ever had and I was pleased with the film as a whole.",1
26," Not as bad as reviewed by the pros. It was very humorous (on purpose) throughout, and the storyline keeps with the fun of the original series. While the battle sequences are deadly serious, the characters are all part of the fun storyline and no one takes themselves too seriously in this movie. I would recommend for fun, sit-back-and-enjoy-the-fireworks summer fare. Huge plus if you are old enough to remember the original series, as the characters are all fleshed out perfectly. Relax everyone...the movie wasn't written to earn an Oscar. It's just fun and very cool.",1
27, It's big. It's loud. It's fun. Whats not to like?,1
28," Awsome movie, only complaint: TOO MANY HUMANS!! not enough focus on the Transformers and their inter personal stories. Hopefully they'll fix that in 2",1
29, Another action film that thinks that fast paced editing makes for clever direction. When the plot is as wafer thin as this it hardly seems worth the while to even bother to take notice of the amphetamine fuelled action. Kinda boring.,0
30," I'm beginning to think that people have actually no opinions on this website and just try and go along with what critics say so they think they're right. form your own opinion! this movie was great. better than the more recent spiderman sequel which was one of my least favorite movies of the summer. And thank you, megan fox. i love you!",1
32," Oh. My. God. Transformers is the biggest and 2nd best movie Michael Bay has ever done (I'm partial to Armageddon). The screen is filled with awe-inspiring visuals and there is no lack of intense action to be had. Surprisingly, Transformers isn't just a 2 and a half hour action scene (unlike Live Free or Die hard). The acting and script are surprisingly solid, especially Labeouf's entertaining performance as Sam Witwicky. If there's anything not to like about the film, it's the occasionally balance issue. There are plenty of epic sequences in the film and plenty of humorous ones too (it's a very funny movie), but sometimes the scenes can intertwine, leading to some annoyances. It's kind of hard to find an epic feeling as Sam and his new girlfriend Mikaela (played by the stunning Megan Fox) marveling at the the sighting of Bumblebee in his robotic form when Sam is standing around with a shirt but not boxers. Still, it's a fantastic movie and should not be missed.",1
33," Transformations - AWESOME!! Everything else about this move - awesomely bad. The human characters and story line are nothing more than filler between Transformer battles, and believe it or not, the Transformer battles are few and far between. The attempts at comedy and romance are absolutely abysmal and the script as a whole may set a benchmark for all time worst . In fact, I am not at all convinced there even was a script. Of course you signed up for a movie about giant transforming robots so you may not care about script or story or characters, or anything other than CGI robots - and I was with you on that - unfortunately that eliminates about 90% of the movie because it is mostly filler.",0
34," The CGI was flawless and I wanted to like this movie but it tried painfully hard to be funny and completely failed. Every movie trick in the book was thrown out. The hot 22yo Australian girl who is smarter than the entire US government and military put together ETC ETC ETC ETC ETC. Movies like Aliens were capable of being a kick ass action movie but not insulting the viewers with every mindless movie cliche and painfully mindless pop culture ""funny"" reference. Great job on the CGI and bringing this to life but maybe if the writers/directors didn't treat us like we were 8, it might have been anywhere near decent.",0
35," Garbage. Another piece of crap from Bay. There's bad acting, bad action ""sequences"" (a few missiles are fired and that's it) and no plot. What'd you expect?",0
36, I haven't been that excited wathcing a movie in years. The film is amazing. This is what summer movies are all about!!!!!!,1
37, Great sound! Great voice work for the autobots! As for everything else... oh god... this is one of the worst movies I've ever seen.,0
38," I've seen it in Italy. It's so funny! Shia Le Beuf is a Dustin Hoffman type guy, perfectly in part. Cars, Mega robot, hot brainy chicks, jokes, fun dialogues: there's all you can expect from a blockbuster. After three boring sequels, finally the real summer hit. Marco",1
40," Perfect staging with amazing action driven by human drama that is delivered via a solid cast. Humor action special FX, and a perfect rendition of the Transformers to film. The best action movie I've ever seen.",1
41," Worth every penny, and I'm going back tomorrow to see it again!",1
44," Amazing Movie, everyone in the theater cheered through the whole movie, they cheered when optimus prime appeared, they cheered when megatron came alive, and they cheered wildly at the end",1
45," Wow! ...stupendous entertainment for the hot , hot summer break. I waited through 5 power outtages at my local imax to see this thing and it was worth the $12.00 ticket!",1
46," This movie was unbelieveable! It was the best movie I've seen all year. It has great humour and so much action, but best ofd all, it has good acting! Special Effects were stunning and this is definatly a film you must got to see if you 10 or older. Humour is a bit crude for anyone under 10, violence is a bit much for anyone under 10. 9.8/10",1
47,Saw the sneak preview last night and it was amazing. i was blown away from the beginning to the end. the whole crowd was into it and clapping the whole way through. great experience definitely go see.,1
48, looks great!,1
49," Took my 11 and 8 yr old boys to it with my wife. We all loved it, boys said it was the best movie they'd ever seen. My wife and I were surprised - we really liked it too. The actors seemed to be having a really good time making this movie and there were some heartwarming moments, some good comedy, and most of all, non-stop action with some of the coolest CGI I've ever seen. I felt like I'd witnessed the next level of movie craft similarly to how I felt when I saw the Matrix for the first time.",1
52, I find it funny that the critics of publications such as The New York Times and The Onion can't seem to understand that the movie is targeted towards kids and teenage males. Either they were never fond of giant robots or they just forgot how to be a kid. A great movie all around. The cgi effects are worth the price of admission.,1
53," I thought it was awesome. The special effects were amazing. I grew up on the original transformers, so I thought it was ingenious how quickly and smoothly they transformed. I didn't like the sexual humor, which made me give it a 9 instead of a 10.",1
54, It's a Michael Bay movie.....about fighting robots. Anybody who whines about it not having a plot went to see the wrong movie. Don't expect a compelling storyline or major character development. This isn't an art house flick. It's giant robots destroying each other and everything in their wake. And it totally delivers.,1
55," LOVED it. I'm a fan grew up on the cartoon and toys but that doesn't change the fact that it was a fantastic movie. and i know someone will say ya ""FANtastic"" It had that absolute best CGI that is possible out there. it pushed ILM's computers etc to their absolute limits, nothing out there can even come close. HUGE explosions. great car chases ala normal Michael bay. it was funny, more then I expected. I personally think it's one of my new favourite movies. If your a fan you will LOVE IT! if your not a fan you will love it. you owe it to yourself to at least check it out.",1
56," It's really quite simple. If you grew up with the TRANSFORMERS, you are going to LOVE this movie. If you didn't you probably should go see something else. I loved it. ""What this movie needs, though, is more Soundwave!""",1
58," downright awesome. definitely the best movie of the summer, at least so far. Transformers featured some of the most amazing CGI work i have ever seen, and every scene featuring the transformers looked incredible. there were a few low spots, but nothing terribly bad. I've never been a big fan of Shia Lebouf's movies, but in Transformers it seems like he's evolving from another faceless disney star into a more mature and interesting actor. although, for a 2.5 hour movie, there could have been a little more plot/character development from the movie, especially when it came to the Decepticons. they were pretty much just randomly introduced about 3/4 of the way through the movie, and then the big fight began. still, i would definitely go see it again, and cannot wait for the DVD. 9.0 out of 10.",1
59, My Favorite summer movie yet. Great fun. Great action. Michael Bay is slowly redeming himself in my opinion. The Island was good too... oh wait. That was the first movie he did away from Bruckheimer. and now Transformers with spielberg. Hmmm...makes you think a bit don't it?,1
60, the best movie i ever saw,1
61, great,1
62," I loved the action scenes, but as a fan of the series I would have liked to see more relationship between Starscream and Megatron.",1
63," Anyone who give this movie less than a 6 is simply crazy. The plot was simple, easy to follow, and beyond a few minor annoyances entertaining to watch. The acting, again, other than a few odd sequences was also pretty damn good. The action, was borderline excessive, but it was also incredibly fun to experience, because in this movie it is definitely more of an experience than simply watching the film. In the end, this is one of the best action movies of the past 7 years and it is definitely worthy of the phrase ""summer blockbuster"", better than X-Men3 and Superman Returns by leaps and bounds. The whole GM thing is pretty damn ridiculous, meaning it is a ridiculous thing to be upset about. They are called Autobots, they transform into cars, no reason why we need 10 different company logo, just so some internet nerd won't have a conniption. Its called TRANSFORMERS, not William Shakespeare's Transformers, so go into it expecting a big, over the top loud, hell of a good time.",1
64," So much for movie critics huh? I believe that M. Knight Shamalan (however you spell his name) was right to kill a critic on his movie. Wow I wonder if these critics saw the same movie i saw. I have to say that it was it did not leave me wanting. So what they did not give you a detailed background on each and every character. Since when do we go to a movie for a history channel special. Easy plot, good action, funny. I give this movie a 10 yes thats right a 10.",1
65," I think that people trashing this film are missing the point a bit. A movie based on a collection of toys from the eighties is never going to produce a screenplay that will rival the Godfather. It is meant to be a bit of mindless fun and that is exactly what it is. If you let go a little bit and stop expecting it to be a masterpiece and instead treat it as entertainment you will enjoy it. The special effects are absolutely incredible and worth the ticket alone, there are also some surprisingly good moments of humour which dare i say i actually less predicatable than the tripe produced by the highly over rated simpsons movie. Transformers is meant to be simple fun and it is - as long as that is all you want it won't disappointed.",1
67," Utter, utter bilge. I wasn't expecting much, just a few laughs, some impressive effects and exciting action, but it failed to provide any of these. The script is tedious, witless and utterly devoid of charm. The Transformers change from car to robot in the blink of an eye, a total cop out that negates any clever mechanical movement. And the action is unforgivably tedious. Worst of all, it's far, far too long - this is simply a 2hr 30min commercial for American muscle cars and the US military. Massively disappointing.",0
69," 2 1/2 hours of pure Hollywood crap. As a matter of fact, I don't think I ever enjoyed a Micheal Mann movie. Just because it was packed full of ridiculous comic relief and backlot explosions makes it a blockbuster hit? I guess so. This is definitely a movie for the masses.",0
70, It's just fun! seriously.,1
71," This is one of the coolest movies ever. Period. This SUPPOSED TO BE AN ACTION MOVIE and is one of the most bad ass ever made. Whoever says it isn't ,doesn't like action, and shouldn't comment on it at all.",1
72," Loved this movie, can't wait for the DVD. In fact I have it pre-ordered already",1
74," I saw this movie 2 day ago (I'm living in Korea so it comes out sooner) and I thought it was pretty decent. As long as you are expecting SUPER corny lines and an almost 3 hour long flick, I think you'll enjoy the film. There were also plenty of good one liners along with a great job by the frantic Shia LeBeouf. Also, not to forget the most important part, the visual effects were pretty damn amazing.",1
75," Good fun, with only a couple of cringe-worthy sappy moments. The only major downside was the product placement, which was very much in your face. The Panasonic SD card and the GM cars being the standout examples. SPOILER: Golden moment - the All Spark hits a drink vending machine and turns it into a Decepticon that launches cans of soft drink from its weapon. Priceless.",1
76," ""Michael Bay in good movie shock!"" I've dreamed of a this movie becoming a reality for 22 years. I'm still reeling from it coming from one of cinemas worst directors!",1
77," No you will not receive any insights into the human condition or the universe watching Transformers, a movie about a toy franchise. What you do get is a profoundly entertaining summer popcorn movie, a cheesy and thoroughly preposterous smashup that also manages to be Michael Bay's first genuinely satisfying movie. And the special effects are just ludicrous to behold.",1
78, I pretty much agree with everyone who gave this movie a 7. The people that were upset about the plot and basic storyline need to realize thats not the point of the movie. its a summer action flick. and i had fun (unlike watching spiderman 3).,1
79," The only thing that I didn't liked was the action sequences, they lacked of detail and the whole thing was actually a big mess by the end. But in general it's a fun movie and to give it a comical approach it's what saves it from disaster.",1
80," Terrible movie. Transformers aren't old school. So many cheesy slo-mo ""moments"". I went into this thinking it was going to suck, but at least I'll get to see some cool robot fight scenes onscreen. No, not even that. The director went for that stupid new style of shaky-cam for the fight scenes. With most of the robots being solid gray, it was hard enough to tell what was going on in the fight scenes without the shaky-cam crap. Just a bad, bad movie. God it was bad.",0
81," It irritates me that people are so anxious to trash this movie because of the fact that Michael Bay directed it. It wasn't even cool to diss Michael Bay until South Park, and now every one loves to hate him because of the South Park precedent. Everyone should face the fact that mindlessly regurgitating opinions from South Park is the kind of mindlessness that South Park lampoons in every episode. I went to the movie not expecting much but finding that the movie actually had a soul that transcended being a built-to-order movie that would only please nerd devotees and actually became a film that was enjoyable because it played both to nostalgia (having grown up with transformers myself) and to enjoyability/ having a soul. Just because it is cool to trash a director doesn't mean that you can't at least watch the movie first before you get your opinions decided for you.",1
82," The best Michael Bay film yet. Exciting, great special effects and great touches of humor. We need more of these movies, a film I can takes my kids to see that is both for kids and adults. The box office receipts speak for themselves. The public loves it, critics hate it. Star Wars had the same problem in 1976.",1
83," I had low expectations entering this movie, and Michael Bay somehow managed to fall below them. Horrible directing, horrible story. Full of every cliche from the action movie canon. The special effects were not that impressive. And the Autobots were a bunch of goofballs.",0
84," As with all movies based on television shows or comics, it",0
85," This movie is the GREATEST movie of all time! I cannot possibly watch a movie that lacks transformers of any sort after watching this MASTERPEICE! If you hated Transformers, this movie will convert you to a Transfan and then you will be immersed into the purified awesomeness of this magnificent artwork that TOTALLY craps all over Star Wars, Harry Potter and LOTR and any other movie ever made and then kicks them in the family jewels so bloody hard that they will be vomiting them out! You MUST watch this movie! At least a million times in the cinema before buying the DVD!",1
86, First of all that film was AMAZING! but secondly can anyone tell me what song is being played when the camaro (bumblebee) drives off and comes back as the new camaro? i would be very grateful as it has been bugging me ever since i saw the movie! lol,1
87," I was expecting this to live up to my memories of the original franchise. It fell way short. The effects were amped up in overdrive, but that didn't mask the lack of intelligence or soul. Big dud.",0
88, Giving an '80' score to Anthony Lane's New Yorker review suggests Metacritic's sense of irony may be as rusty as old scrap metal.,1
89," A flawed, but very enjoyable movie.",1
90," Lack of Imagination, stupid plot...I wasn't expecting nothing special though..those American franchises (Spiderman, 4fantastics, sth..man etc.) movies are all crap and I think people,at least in my country, is realizing of that.",0
91, Megan Fox and Shia Labeouf need to get married. The action was ridiculous and Megan Fox was also breathtakingly amazing.,1
93, If you know there is some cheese factor carried over from trhe cartoon you will enjoy this great action movie.,1
94, This movie was amazing. Bay was made for this kind of movie and it felt like watching the first episode of the show if it was remade. It is also extremely well done visually.,1
95," This movie was amazing. I've seen it 5 times and it has been just as good every time. The plot was a little loose but the effects were utterly amazing. Also, the added humor and wit of Shia Labouf was unexpected but made the movie multi-dimensional. Can't wait for the sequel!",1
97, Fantastic! This is what a summer blockbuster is supposed to be. Awesome Action. The CGI is seamless and real. The thing that suprised me the most was how funny the movie was. Michael Bay nailed the tone that a movie based on a cartoon and toy should be. Tongue and cheek and silly while delivering jaw dropping action scenes. Well done. Plus Optimus Prime is the coolest character ever!,1
98," Transformers; A- I was really surprised. I didn't expect this movie to be as funny as it was. It's got such a great sense of humor, the action scenes are incredible, the effects are amazing, the characters are likable..... Steve Jablonsky provides a really cool musical score, too. It's overall a really fun movie and a real crowd-pleaser, even though you have to tolerate the occasionally (let's face it,) nerdy subject matter. I just really, REALLY, wish directors these days would please KEEP THEIR MOVIES UNDER 2 HOURS!!!!!!!!! It's getting pretty ridiculous now. Some editing to shorten the movie a bit and it would have been perfect. Easily director Michael Bay's 2nd best film (behind the excellent The Island.)",1
99," 7 for the average movie goer. 9 for most kids and boys. 4 for your more sophisticated movie reviewer. This is a thrill ride more than a movie. Great CGI and action. Some good acting mixed with some cheesy Independence Day-like nutty characters. Shia's character got annoying after a while with his fast talk and super hip-not so cool kid-being cool. These are the kids that run high schools, they aren't the ones hiding in the background!! Megan Fox is beautiful but doesn't do a whole lot other than being an object of super tanned lust. Michael Bay needs to lay off the slow motion, with military horn music...every movie he does this-knock it off, it's cheese. Josh Duhamel and Tyrese are the only two that keep this movie somewhat realistic, they did a good job. Rachael Taylor does an ok job until things get silly with her character. The transformers themselves are cool and the new looks are better than the look from the 80'sl. The decepticons to me were much better looking. The CGI is amazing. Optimus Prime's voice is as cool as ever. The fights are full of action. Overall Michael Bay proves to me that he still can't create real humans, but is great at creating simple macho action. Good movie but forgettable characters except for the transformers themselves.",1
100," An overlong, idea-void mess of a movie. It's just action scene after mind-numbing action scene of huge, clunky, metallic CGI-robots fighting and blowing each other up and blowing up big buildings, and then more robots fight each other and the screen is filled top to bottom with fires and explosions and loud noises. If this sounds like a fun time to you, enjoy. If this all sounds dull and stupid and mind-numbing and unnecessary, you are correct.",0
101, Sure the story might not have been great but how can you look past the action and outstanding CGI.,1
102," This movie is easily the best movie of the year if not best movie ever. I was sucked into the movie by the speedy movements and the loud noises. Beautiful Megan Fox put Transformers to the top of my ""favorite movies ever"" list.",1
103," Saw it at a sneak preview a week ago. As with all movies these days the trailers looked great, but the actual movie disappoints. Well, this is one movie that didn't. Might be the coolest movie I've ever seen in a theater. The perfect summer movie!",1
106," This movie is fantastic! it has a few flaws, but visually it's amazing.",1
107, Oh My. J Arr's review almost made this whole movie worth it. My goodness man. I laughed my ass off at your review. You rock dude. I can't believe you're passionately defending this movie. You're a bush vote for sure.,0
108," I really enjoyed this movie. It's probably one of the most memorable films I've seen in quite a while. I typically have a fairly short attention span, and I personally didn't think of the plot as mindless filler between shiny things fighting. The visuals were raw, gritty, and quite stunning. The only bad thing I have to say about the movie, is that it eventually ended and I couldn't watch it anymore. You can't go to a movie like this expecting to have a philosophical and intellectually enlightening revelation. It is what one would expect in a movie about transformers. I found myself watching the film with quite the shit-eating grin on my face for the majority of it. Of course, I grew up in the 80's playing with transformers myself. Conclusively, I feel this movie was worth the cost of the $10.50 admission ticket, and I would see it again. I'm looking forward to the DVD already.",1
109, I,0
110," Beautiful It really felt like you were there with these amazing giant robots, the action sequences are usually from the point of view of the humans and it gets reallt intense the only thing that brought this movie down a bit for me was the scene where they're looking for the glasses - a little too long but i just edited that part out in my head I got a little misty eyed remembering fond memories from my childhood overall well worth 10$ and a great diversion from stresses of daily life.",1
111," awesome movie. anyone who says the CGI was poorly done is either blind or some kind of special fx whiz and you're the latter, make us a movie then. otherwise shut up and like others have said before, don't expect a masterpiece - just a fun time",1
112," Transformers has all the makings of a great movie: humor, action, throwbacks to the original cartoon and movie, babes, killer robots, and a story. The people who give this a bad rating are the people who didn't get exactly what they wanted in every way. This movie was just plain fun and that is all the movie needed to ever be. I grew up with the transformers and i could not be happier with the movie. Nit picking has given this movie undue low ratings.",1
113," I've had an internal feud with anything ""Transformers"" so I naturally had very low expectations for this movie.Needless to say i went to see the movie, and loved it. The best special effects I've seen. They do an incredible job of making the movie enjoyable for hardcore fans,and people like me that don't know anything about Transformers. Watch this movie for what it is, a special effects action-comedy movie based on a kids cartoon. Also keep in mind that this is the first movie in a trilogy, so don't get mad if you feel it left out some stuff it should have had. Like the first Pirates movie, this one introduces the main characters, and they will build on the series from that. Overall a great movie, i'm headin' out to see it again right now.",1
114," Giant robots maiming each other, nothing more needs to be said.",1
115," This movie was wonderful. I've been a fan of the series since i was a child and seeing all the characters in vivid cgi was amazing! Whats better is the personality of the franchise has been kept along with some of the sound effects which, like the very design of the transformers themselves, gives them identity. I would have liked to see more European cars (jazz should be a Porsche for example) but the movie is funny, scary, exciting, worrying and one of the most entertaining movies I've ever seen.",1
116," I thought maybe this would be a film that was a bad Transformers film but still a good film-film. Sadly I was let down. This is just a bad film. I've been a hardcore TF fan since I was a kid, and to those of you who are like ""I'm not a transformers fan but this film will please both newcomers and hardcore fans alike,"" please -- stop telling me how I should feel about this film. I already know -- I hated it. And where do you get off pretending to know what will please hardcore fans when you are not one yourself? Just stop.",0
117," I was absolutely blown away by this movie. The special effects, storyline, and sound were incredible. This is definitely one of my favorites of all time and I highly recommend seeing this movie.",1
118," Where do I start? The only movie I've ever walked out of, EVER. And I've sat through Bio Dome & Anaconda while scores of people around me walked out. It didn't even matter whether I was a fan of the 80's cartoon (which I was), this was perhaps the worst written movie I've ever seen. Best highlight? When the grunt soldier dials his direct line to the pentagon (apparently all military personnel get a direct phone number to the Pentagon) and a (haha) stereotypical Indian guy answers and starts asking him for his credit card info. Or maybe when the Autobot sends up a blatant ripoff ""Bat Signal"" light into the sky to call down the other Transformers. Or maybe when G.W. Bush on Airforce One asks the stewardess to bring him some Ringdings, she goes down to the kitchen to get some, unwraps it, drops it on the floor by accident, then picks it up & starts eating it (?!?!). What did I learn from this? Well, (1), if you believe your car is stalking you, don't stay inside nice & safe where you already are, be sure to run outside and hop on your mom's bicycle so it can chase you. (2) high school girls run around with the halfnaked body of a Victoria's Secret model, eating exclusively nothing but Burger King & fixing cars, and (3), the (2nd) smartest internet hacker America has is (once again) a hot 'high school' girl who is 6x as smart as any college-trained pentagon official, is granted top-level military access, & figures everything out in an instant. Did I mention that she (thankfully) happens to live next door to the Pentagon, as does her best friend, the U.S's greatest hacker, the (hahaha) stereotypically overweight jolly African American guy? This is far far beyond check your intellect at the door popcorn movie; this is the stupidest commercial for EBay & GM (oops, I meant movie) that I've ever seen. This is the Billy Madison ""everyone in this room is now dumber"" speech in real life. If you fancy yourself to have a brain level above that of a 13 year-old boy, do yourself the biggest favor ever & skip this. If you enjoyed MENSA-level blockbusters such as Resident Evil 2, empty your wallet and come right in and have a seat. Enjoy some 'SHAKEY-CAM"" action! And I though I hated, no, loathed Michael Bay before... if this guy lands another movie, EVER, he & the producer should be thrown in Gitmo. I had a free voucher from the theater for this movie, and I still feel ripped off. I only give it a 1 for the CGI, which was actually no better than anything else the last few years. The only people enjoying themselves we're the two 15 year-old girls behind me giggling at every Shia LeBouf scene, especially the one where the robot rips off his pants (that's right).",0
119," Great photography, amazing special effect. The robots look so real even in the fights scene in the city. This movie is Bad Boy meets with War of the Worlds. Great entertainment, worth going to watch at the movie theater.",1
120,I don't know why critics reviewed this as a 60 out of 100 when this was easily the most entertaining film of 2007 by far. The special effects were amazing and the whole movie was action packed. The transformers looked so real. A lot better than all these shitty movies coming out now such as spider man 3,1
121," OK, so we're not looking at this film as a written masterpiece... rather this was a mind-blowing experience. I still have no clue what the story was about, but my head is still ringing from the sound effects. The sfx in this movie are through the roof! It was so loud that my chair was vibrating for half of the movie. Towards the end I could care less about who was going to win or even how it was going to end. I was going blind from the explosions and deaf from the bass in this movie. And how hot was Megan Fox? I can;t wait to see her in another movie.",1
122," wtf is wrong with you all???? its not perfect but its pretty freakin good!!! it sent chills down my back when they asked the pilot to reveal himself, which he did by disappearing and turning into a deceptacon!!! it may be a little long, sure but it sure as hell isnt boring. great film, highly recommended",1
123," I'm surprised most people adore this garbage. It's just another Bay film. The robots were just silly for 70% of the time and when they weren't silly the human characters were. In fact, the human characters were less believable than the robots. Overall, just an exhausting flick with too many explosions and absolutely no depth.",0
124, I'm sorry but if you grew up watching Transformers like I did when you were younger then this film is absolutely fantastic. This film wasn't made for it's in-depth story and Oscar winning acting. Its all about the Transformers and to be honest they could not have been created any better. Lighten up (or your car may change),1
